initial_position,final_configuration,degree,final_rank
353,Law Enforcement,10,18.531
348,Wellness,13,18.641
388,Cryptocurrency,13,18.758
405,Machine Learning,21,18.987
396,Data Center,13,19.017
362,Human Resources,13,19.179
420,Compliance,19,19.293
347,Online Portals,13,19.452
381,Military,13,19.618
364,Consumer Goods,12,19.664
394,Web Development,14,19.812
374,Sensor,15,19.955
367,Consumer,12,20.002
361,Sales,14,20.047
349,Hospitality,12,20.095
193,Self-Storage,5,20.142
398,Management Consulting,15,20.348
412,Messaging,17,20.564
371,Search Engine,14,21.004
385,Video,16,21.218
401,Real Time,17,21.227
390,FinTech,19,21.353
395,Asset Management,14,21.359
310,Publishing,8,21.408
329,Media and Entertainment,10,21.48
380,Location Based Services,16,21.826
402,Infrastructure,16,21.857
379,Web Design,16,21.861
363,Agriculture,16,21.892
334,Staffing Agency,11,21.949
392,Supply Chain Management,16,22.036
373,Communications Infrastructure,14,22.246
399,Data Storage,16,22.514
422,Identity Management,23,22.526
372,Pharmaceutical,17,22.59
352,Mechanical Engineering,13,22.682
365,Customer Service,15,22.689
414,IT Management,19,22.86
351,Recruiting,14,22.971
417,Business Development,20,23.411
415,Database,19,23.422
400,Product Design,17,23.737
397,Commercial,16,23.751
375,Marketplace,17,23.952
448,CRM,24,24.944
384,Accounting,15,25.026
442,Robotics,24,25.293
386,Advertising,18,25.443
403,Industrial Automation,18,25.67
387,Industrial Engineering,17,25.926
416,IT Infrastructure,21,26.142
419,Social Media,26,26.318
338,News,11,26.397
389,Biotechnology,23,26.52
393,Food and Beverage,21,26.693
406,Logistics,22,26.902
441,Cloud Data Services,30,26.921
437,Physical Security,27,27.103
440,Cloud Computing,31,27.167
410,Web Hosting,23,27.425
447,Big Data,38,27.567
425,Homeland Security,24,27.686
433,National Security,29,28.1
411,Payments,25,28.174
449,Analytics,35,28.174
408,Retail,28,28.86
421,Marketing,28,28.958
436,Training,29,29.047
432,Blockchain,34,29.321
404,Banking,21,29.616
452,Risk Management,36,29.633
418,Travel,27,30.045
413,Medical,32,30.17
443,Consumer Electronics,33,30.335
427,Service Industry,29,30.41
444,Mobile Apps,37,30.716
455,SaaS,50,31.009
407,Communities,22,31.131
445,Artificial Intelligence,45,31.319
424,Finance,29,32.871
423,Industrial,31,32.896
453,Telecommunications,36,33.025
463,Cloud Security,46,33.162
435,Automotive,34,33.238
426,Non Profit,31,33.628
451,Hardware,38,33.842
409,Insurance,26,34.346
429,Transportation,39,34.86
460,Government,41,35.05
439,Legal,33,35.604
428,Energy,37,36.851
457,Internet of Things,49,37.099
446,Professional Services,40,37.679
438,Association,32,37.705
450,Aerospace,42,37.837
458,Mobile,54,38.873
456,Electronics,49,39.617
430,Oil and Gas,38,41.175
462,Apps,56,41.533
464,Enterprise Software,75,42.011
431,Construction,38,43.393
467,Privacy,85,45.321
454,Education,52,46.121
434,Real Estate,45,46.134
469,Information Services,79,49.201
461,E-Commerce,76,50.078
470,Computer,79,50.844
466,Public Safety,81,51.533
459,Financial Services,80,58.054
465,Health Care,98,61.272
468,Manufacturing,110,63.723
472,Network Security,151,66.767
471,Consulting,162,73.447
473,Internet,172,75.286
474,Cyber Security,365,101.028
475,Software,487,123.676
476,Security,666,147.657
477,Information Technology,663,149.839
